company,location,country,year,capex,currency,capex_2025_eur,capacity,facility_size_m2,source_url,confidence_score
121 In-Flight Catering,"Brisbane, California",US,2020,15.0,USD,17.28,,4645,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
80 Acres Farm,"Hamilton, Ontario",CA,2019,,,,,2787,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
AAK USA,"Louisville/td>KYEdible oilsExp.210/20, Kentucky",US,2020,2.0,USD,2.3,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Aalco Distributing,"Ft. Wayne, Indiana",US,2020,,,,,9755,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Abbott Nutrition,"Sturgis, Michigan",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
AeroFarms,"Danville, Virginia",US,2020,42.0,USD,48.38,,13935,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Ag Science Solutions (dba Shyne Labs),"Franklin, Kentucky",US,2020,9.0,USD,10.37,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Agile Cold Storage,"Cartersville, Georgia",US,2020,30.0,USD,34.56,,13935,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Agile Cold Storage,"Gainesville, Georgia",US,2020,30.0,USD,34.56,,13935,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Agriculture Technology Campus JV,"Hampton, South Carolina",US,2020,,,,,13935,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Agropur,"Jerome, Idaho",US,2020,,,,,1115,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Agropur,"Lake Norden, South Dakota",US,2020,,,,,1115,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Agropur,"Lake Norden, South Dakota",US,2020,,,,,14214,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
AgTech,"Paris, Kentucky",US,2020,,,,,4645,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Ahold Delhaize,"North Kingstown, Rhode Island",US,2021,130.0,USD,143.03,,18581,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Ajinomoto,"Oakland, Mississippi",US,2020,27.0,USD,31.1,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Aldi,"Loxley, Alabama",US,2022,100.0,USD,101.87,,52397,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Alfresco Pasta,"Nashville, Tennessee",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Allen Bros.,"Selah, Washington",US,2020,35.0,USD,40.32,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Americold Logistics,"Savannah, Georgia",US,2020,,,,,28986,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Amy's Kitchen,"Goshen, New York",US,2022,150.0,USD,152.81,,36232,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Anheuser-Busch,"Cartersville, Georgia",US,2020,85.0,USD,97.91,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Anheuser-Busch,"Cartersville, Georgia",US,2020,150.0,USD,172.79,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Aquacon,"Federalsburg, Maryland",US,2024,300.0,USD,285.12,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
ArborVita8,"Phenix City, Alabama",US,2020,,,,,6968,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Ark Foods,"Hackensack, New Jersey",US,2020,,,,,1394,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Associated Grocers,"Goodlettsville, Tennessee",US,2020,15.0,USD,17.28,,3716,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Associated Wholesale Grocers,"Hernando, Mississippi",US,2023,300.0,USD,293.53,,85285,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Atlantic Sapphire,"Miami, Florida",US,2020,340.0,USD,391.65,,102193,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Aurora Packing Company,"Aurora, Illinois",US,2023,115.0,USD,112.52,,22390,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Aveka Nutra Processing,"Waukon, Iowa",US,2020,,,,,557,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Aveka Nutra Processing,"Waukon, Iowa",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
AWG,"Hernando, Mississippi",US,2022,,,,,84913,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
AWG,"Kenosha, Wisconsin",US,2020,7.0,USD,8.06,,3995,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
B&D Foods,"Americus, Georgia",US,2020,15.0,USD,17.28,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Babynov USA,"Red Boiling Springs, Tennessee",US,2020,45.0,USD,51.84,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Bakkavor USA,"San Antonio, Texas",US,2020,1.0,USD,1.15,,929,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Ball Corporation,"Pittston, Pennsylvania",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Ball Metalpack,"Chesnut Hill, Tennessee",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Bang Energy,"Lithia Springs, Georgia",US,2021,145.0,USD,159.53,,59830,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Barrett Petfood Innovations,"Little Falls, Minnesota",US,2020,18.0,USD,20.73,,14864,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Barvecue,"Cornelius, North Carolina",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Basic American Foods,"Rexburg, Idaho",US,2020,100.0,USD,115.19,,11613,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Batter UP Foods (SatisPie),"Fulton, Georgia",US,2020,34.0,USD,39.17,,9476,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Beam Suntory,"Clermont, Kentucky",US,2021,60.0,USD,66.01,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Bell & Evans,"Fredericksburg, Pennsylvania",US,2021,330.0,USD,363.08,,38276,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
